7,6,7
9,7,6
8,6,4
8,6,8
10,9,8
6,9,9
11,10,8
7,11,7
7,8,5
5,5,8
9,4,6
8,10,4
7,10,11
6,6,5
8,5,6
8,4,4
11,4,4
5,6,9
6,11,10
10,8,10
9,10,4
5,10,7
11,4,8
7,11,6
5,10,5
6,6,4
6,8,10
9,5,5
5,8,10
11,5,6
10,7,4
7,5,6
4,7,4
4,7,4
8,4,8
9,5,9
10,9,10
9,11,7
11,7,6
4,6,4
11,5,5
9,9,8
7,8,4
10,9,9
10,5,10
9,9,9
10,6,8
9,5,5
7,6,6
5,7,10
8,4,9
6,11,9
9,4,11
6,10,8
4,4,10
4,9,11
9,5,6
9,5,7
7,9,4
4,10,9
11,7,5
5,8,4
4,9,6
4,9,8
6,4,5
10,10,7
11,8,10
11,4,8
4,4,6
6,9,4
11,9,4
9,8,11
9,5,7
10,4,4
5,10,10
4,10,6
4,7,9
8,10,11
5,4,6
10,9,10
4,10,9
6,5,9
11,9,9
7,8,4
6,11,10
11,4,9
5,5,9
9,10,10
4,8,7
10,11,4
7,6,11
10,8,8
5,5,4
10,4,11
8,9,11
5,5,9
6,9,6
10,7,7
8,5,4
4,6,9
